    861  0.763   1962.74109  2243.58350  ok
    616  0.753   2318.39575  1877.25378  ok
     87  0.747   2132.54834   861.31873  ok
    804  0.746    511.16000  2182.71924  ok
    682  0.730   1061.08496  1978.26709  ok
    124  0.714   2294.25122   939.16577  ok
     51  0.706   1489.30847   720.75598  ok
    883  0.701   2034.25928  2285.05151  ok
    473  0.689   1975.15344  1714.75769  ok
   1126  0.659   2158.71777  3005.48389  ok
     25  0.736   1502.43103   543.61792  small
    583  0.695   3031.56299  1795.53491  small
    651  0.687   1749.13110  1873.87085  blended
    541  0.684    678.57690  1844.53601  blended objects
    437  0.683   1573.21802  1538.93335  blended objects
    403  0.677   2943.05444  1487.07495  small
    399  0.670    901.42157  1463.97156  small
    729  0.667   2740.09375  2035.15601  maybe blended
    820  0.663    694.64099  2178.76978  smth blended
    383  0.660   2014.63562  1425.14795  small and blended
    137  0.656   1274.66394   992.22278  ok but blended
   1089  0.655   1576.77026  2654.18872  bo
    617  0.654    646.91168  1831.24731  blended objects
